L,method,method_label,energy,exact_energy,abs_delta_e,elapsed_s,gap_closure,gate_pass,gate_reason
2,exact,Exact (Sector),-0.8360571181551808,-0.8360571181551808,0.0,0.0,,True,reference_only
2,hf,Hartree-Fock Ref,4.5,-0.8360571181551808,5.336057118155181,0.0,0.0,True,reference_only
2,hardcoded_vqe,Hardcoded VQE (UCCSD),-0.8360571181272398,-0.8360571181551808,2.7940982860741315e-11,0.25019075023010373,0.9999999999947637,True,ok
2,qiskit_vqe,Qiskit VQE (UCCSD),-0.8360571175951912,-0.8360571181551808,5.599896102381763e-10,2.261097291018814,0.9999999998950554,True,ok
2,adapt_uccsd_fixed,ADAPT-UCCSD (Fixed Sequence),-0.5079365079365084,-0.8360571181551808,0.32812061021867245,55.77441979199648,0.9385087897387213,False,failed_fixed_uccsd_gate
2,adapt_uccsd_adapt,ADAPT-UCCSD (Adaptive),-0.5079365079365035,-0.8360571181551808,0.32812061021867733,26.640087832696736,0.9385087897387204,False,failed_adaptive_uccsd_gate
2,adapt_cse_adapt,ADAPT-CSE (Adaptive),-0.5063129706940832,-0.8360571181551808,0.3297441474610976,7.409987290855497,0.9382045318931856,True,ok
3,exact,Exact (Sector),-1.2360679774997887,-1.2360679774997887,0.0,0.0,,True,reference_only
3,hf,Hartree-Fock Ref,4.0,-1.2360679774997887,5.236067977499789,0.0,0.0,True,reference_only
3,hardcoded_vqe,Hardcoded VQE (UCCSD),-1.2360679741699654,-1.2360679774997887,3.32982330597531e-09,30.052760499995202,0.9999999993640603,True,ok
3,qiskit_vqe,Qiskit VQE (UCCSD),-1.2360679720485528,-1.2360679774997887,5.451235907116825e-09,233.1193785830401,0.9999999989589066,True,ok
3,adapt_uccsd_fixed,ADAPT-UCCSD (Fixed Sequence),-1.2213997768864533,-1.2360679774997887,0.014668200613335403,691.001183624845,0.997198622959754,False,failed_fixed_uccsd_gate
3,adapt_uccsd_adapt,ADAPT-UCCSD (Adaptive),-0.9812752444525539,-1.2360679774997887,0.2547927330472348,242.74566679121926,0.9513389180312175,False,failed_adaptive_uccsd_gate
3,adapt_cse_adapt,ADAPT-CSE (Adaptive),-0.964712231458742,-1.2360679774997887,0.27135574604104673,124.68541379179806,0.9481756640274525,True,ok
