method,energy,delta_vs_exact
Exact (sector),-1.2749172176353751,0.0
VQE (hardcoded),-1.2749167910984351,4.265369399902852e-07
QPE (phase-unwrapped),-1.265625,0.009292217635375133
HPE (scaled),-1.2609374999999998,0.01397971763537531
