method,energy,delta_vs_exact
Exact (sector),-2.102748483462071,0.0
VQE (hardcoded),-1.8118908431778067,0.2908576402842642
QPE (phase-unwrapped),-2.0625,0.04024848346207088
HPE (scaled),-2.0600000000000005,0.042748483462070386
